Id,Country,Name,Latitude,Longitude,Status,National_C,CTRY,MCA,UNLocode
3087,"GRC","Platygiali Astakou","38.477941999999999","21.100757000000002","ERS",,,,
3089,"GRC","Preveza/Lefkas","38.961145999999999","20.758468000000001","UNECE/ERS",,,,
3090,"GRC","Psathopyrgos Achaias","38.325090000000003","21.878864000000000","UNECE/ERS",,,,
3092,"GRC","Rahes","38.880146000000003","22.775227999999998","ERS",,,,
3095,"GRC","Sarantis Voiotias (Paralia Saranti)","38.235335999999997","22.886088999999998","ERS",,,,
3097,"GRC","Stomio","39.865766999999998","22.746044000000001","ERS",,,,
3098,"GRC","Stylida (Stylis)","38.910204000000000","22.616150999999999","UNECE/ERS",,,,
3099,"GRC","Syvota Lefkadas","38.623275999999997","20.683346000000000","ERS",,,,
3101,"GRC","Tsimenta, Volos","39.349421999999997","22.986557000000001","N/A",,,,
3103,"GRC","Valti Astakou","38.448270999999998","21.116354999999999","UNECE/ERS",,,,
3104,"GRC","Vasiliki Lefkadas","38.625906000000001","20.606598000000002","ERS",,,,
3105,"GRC","Vathy Meganisiou","38.665334999999999","20.781490000000002","ERS",,,,
3106,"GRC","Vlychos Lefkadas","38.685785000000003","20.699024000000001","ERS",,,,
3108,"GRC","Vonitsa","38.921188000000001","20.888565000000000","ERS",,,,
3109,"GRC","Xylokastron","38.081026000000001","22.624220000000001","UNECE/ERS",,,,
3111,"GRC","Kapsalion","36.141900999999997","23.003498000000000","UNECE/ERS",,,,
3113,"GRC","Agria","39.337555999999999","23.011991999999999","UNECE",,,,
3115,"GRC","Aliki","38.196415000000002","23.049014000000000","N/A",,,,
3116,"GRC","Arillas","39.354246000000003","20.285164999999999","N/A",,,,
3117,"GRC","Chorostasi","39.180242000000000","22.840465999999999","N/A",,,,
3121,"GRC","Kalogria","38.161704000000000","21.364777000000000","N/A",,,,
3123,"GRC","Kioni","38.449100999999999","20.691462999999999","N/A",,,,
3124,"GRC","Kirra Fokidas","38.427140000000001","22.442456000000000","ERS",,,,
