row;H3_hex_8;H3_int_index_8
61;881eb16e05fffff;613029507785293823
62;881e86a9c5fffff;613026568886812671
63;881ea3c683fffff;613028569467060223
64;881e880f5dfffff;613026664877654015
65;881eb15103fffff;613029499998568447
66;881e92d639fffff;613027405453328383
67;881ea53aa3fffff;613028669358604287
68;881e8828b7fffff;613026671682912255
69;881e880f55fffff;613026664869265407
70;881e948555fffff;613027521178370047
71;881e8c6947fffff;613026963891683327
72;881e818d15fffff;613026217588686847
73;881eb12991fffff;613029489410047999
74;883f34cf59fffff;613601486116487167
75;883f34ce29fffff;613601485797720063
76;881e9a5719fffff;613027921084284927
77;881e812045fffff;613026188379553791
78;8838698665fffff;613481963363237887
79;883f26520bfffff;613600490407591935
80;881e9baa35fffff;613028012113264639
81;883f34ce21fffff;613601485789331455
82;88386d22adfffff;613482211473096703
83;88386d2e41fffff;613482214581075967
84;881e9a218dfffff;613027906710405119
85;881f9b740dfffff;613045589761851391
86;881e92d607fffff;613027405400899583
87;881e125a83fffff;613018576151904255
88;881e880f59fffff;613026664873459711
89;88386d2193fffff;613482211177398271
90;881e92d617fffff;613027405417676799
91;881e997b33fffff;613027862055747583
92;881e8bb18bfffff;613026914570862591
93;883f34088bfffff;613601432750260223
94;881e8c6945fffff;613026963889586175
95;881ea5388bfffff;613028668796567551
96;881e818d11fffff;613026217584492543
97;881e948423fffff;613027520857505791
98;881eb190e9fffff;613029517151174655
99;881f9b7429fffff;613045589791211519
100;88386d2e45fffff;613482214585270271
101;881e831155fffff;613026321808752639
102;881eb11a05fffff;613029485236715519
103;881e948421fffff;613027520855408639
104;881e9b8f4dfffff;613028004890673151
105;881e834199fffff;613026334764957695
106;881e880f43fffff;613026664850391039
107;881e92d719fffff;613027405688209407
108;881e94851bfffff;613027521117552639
109;881e8b2861fffff;613026877751164927
110;881e818d57fffff;613026217657892863
111;881eb1ceb7fffff;613029533741744127
112;881eb19017fffff;613029516930973695
113;881ea328b3fffff;613028527104589823
114;88384d8e27fffff;613480041300361215
115;881ea32d31fffff;613028528310452223
116;88386d3845fffff;613482217269624831
117;88386d2e4dfffff;613482214593658879
118;881ea328b1fffff;613028527102492671
119;883f34ce2dfffff;613601485801914367
120;881eb11a29fffff;613029485274464255
121;881e8828b3fffff;613026671678717951
122;881e818d55fffff;613026217655795711
123;88386d3823fffff;613482217233973247
124;881e831107fffff;613026321726963711
125;881e859251fffff;613026493871685631
126;881e859255fffff;613026493875879935
127;881e9b81a3fffff;613028001222754303
128;881e818d1dfffff;613026217597075455
129;881eb12983fffff;613029489395367935
130;88386d3841fffff;613482217265430527
131;881e92d6edfffff;613027405642072063
132;88386d2db7fffff;613482214436372479
133;881e997945fffff;613027861537751039
134;881f9b7405fffff;613045589753462783
135;881eb521e3fffff;613029762226454527
136;88386d2e61fffff;613482214614630399
137;883f343927fffff;613601445798739967
138;881eb11a67fffff;613029485339475967
139;881eb115b7fffff;613029484081184767
140;88386d26edfffff;613482212613947391
141;881eb11a19fffff;613029485257687039
142;881f9b742bfffff;613045589793308671
143;883f343923fffff;613601445794545663
144;881e9a5625fffff;613027920828432383
145;881e99794bfffff;613027861544042495
146;881e94851dfffff;613027521119649791
147;881eb521a9fffff;613029762165637119
148;883f265319fffff;613600490690707455
149;881eb12995fffff;613029489414242303
150;881e9d8257fffff;613028138850451455
151;881e9b81a7fffff;613028001226948607
152;881e9baa63fffff;613028012161499135
153;881e9bba39fffff;613028016412426239
154;88386d2633fffff;613482212418912255
155;881e9a5753fffff;613027921145102335
156;881ea300c1fffff;613028516381851647
157;88386d263bfffff;613482212427300863
158;883949ac0bfffff;613497366632202239
159;881e8362edfffff;613026343711408127
160;881e86a9c1fffff;613026568882618367
161;881e997959fffff;613027861558722559
162;881e997923fffff;613027861502099455
163;881e8592c1fffff;613026493989126143
164;881e9b8b6bfffff;613028003848388607
165;881e818d17fffff;613026217590783999
166;881e831105fffff;613026321724866559
167;881eb15107fffff;613029500002762751
168;88386d263dfffff;613482212429398015
169;881e8b2805fffff;613026877654695935
