Country;Name;UNLocode;Latitude;Longitude;H3_hex_8;H3_int_index_8;H3_ring;H3_res
IT;OFFSHORE_11;ITP011;44,554394;12,471698;881ea029c9fffff;613028320795164671;2;8
IT;OFFSHORE_29;ITP029;44,294615;12,639013;881ea3810dfffff;613028550850641919;2;8
IT;OFFSHORE_65;ITP065;42,934945;14,243294;881e852003fffff;613026463188254719;2;8
IT;OFFSHORE_66;ITP066;43,021356;14,163626;881e853199fffff;613026467908943871;2;8
IT;OFFSHORE_42;ITP042;44,21278;12,705338;881ea388d9fffff;613028552891170815;2;8
IT;OFFSHORE_67;ITP067;39,091944;17,204166;883f2439b3fffff;613600346444398591;2;8
IT;OFFSHORE_68;ITP068;44,116443;13,044925;881ea31697fffff;613028522243391487;2;8
IT;OFFSHORE_2;ITP002;44,486994;12,531443;881ea39357fffff;613028555730714623;2;8
IT;OFFSHORE_35;ITP035;42,201212;14,939078;881e813217fffff;613026193379164159;2;8
IT;OFFSHORE_39;ITP039;44,405721;12,660845;881ea39193fffff;613028551148437503;2;8
IT;OFFSHORE_33;ITP033;36,926058;13,805449;883f344439fffff;613601448755724287;2;8
IT;OFFSHORE_50;ITP050;42,203712;14,970746;881e8132c7fffff;613026193383358463;2;8
IT;OFFSHORE_69;ITP069;42,235657;14,931856;881e81325bfffff;613026193230266367;2;8
IT;OFFSHORE_70;ITP070;37,009175;14,045081;883f3472c3fffff;613601461290401791;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448772501503;2;8
IT;OFFSHORE_33;ITP033;36,926058;13,805449;883f344439fffff;613601448728461311;2;8
IT;OFFSHORE_55;ITP055;44,509292;12,373913;881ea0661dfffff;613028321065697279;2;8
IT;OFFSHORE_42;ITP042;44,21278;12,705338;881ea388d9fffff;613028552918433791;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448950759423;2;8
IT;OFFSHORE_71;ITP071;42,808505;14,379206;881e852c11fffff;613026466424160255;2;8
IT;OFFSHORE_72;ITP072;39,084925;17,200158;883f242b59fffff;613600342577250303;2;8
IT;OFFSHORE_73;ITP073;44,478089;12,54616;881ea39311fffff;613028554914922495;2;8
IT;OFFSHORE_14;ITP014;36,936642;13,732618;883f344731fffff;613601449571516415;2;8
IT;OFFSHORE_74;ITP074;44,047208;13,803467;881eaecad5fffff;613029326543126527;2;8
IT;OFFSHORE_63;ITP063;42,610534;14,168514;881e819129fffff;613026218675011583;2;8
IT;OFFSHORE_68;ITP068;44,116443;13,044925;881ea31697fffff;613028562187845631;2;8
IT;OFFSHORE_6;ITP006;44,348645;12,588894;881ea3836dfffff;613028551458815999;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448762015743;2;8
IT;OFFSHORE_42;ITP042;44,21278;12,705338;881ea388d9fffff;613028552905850879;2;8
IT;OFFSHORE_75;ITP075;42,559691;14,183769;881e819ae3fffff;613026221199982591;2;8
IT;OFFSHORE_70;ITP070;37,009175;14,045081;883f3472c3fffff;613601461263138815;2;8
IT;OFFSHORE_70;ITP070;37,009175;14,045081;883f3472c3fffff;613601461271527423;2;8
IT;OFFSHORE_42;ITP042;44,21278;12,705338;881ea388d9fffff;613028553413361663;2;8
IT;OFFSHORE_76;ITP076;44,306264;12,628145;881ea38145fffff;613028550821281791;2;8
IT;OFFSHORE_25;ITP025;44,39535;12,44372;881ea39a4dfffff;613028557592985599;2;8
IT;OFFSHORE_64;ITP064;36,540638;14,625491;883f308899fffff;613601192248868863;2;8
IT;OFFSHORE_55;ITP055;44,509292;12,373913;881ea0661dfffff;613028337463328767;2;8
IT;OFFSHORE_19;ITP019;44,091609;13,741427;881eaec161fffff;613029324016058367;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601449206611967;2;8
IT;OFFSHORE_77;ITP077;44,540237;12,495601;881ea02989fffff;613028321231372287;2;8
IT;OFFSHORE_61;ITP061;44,475986;12,453451;881ea066bbfffff;613028337595449343;2;8
